date,timestamp,call_disposition,contact_id
2019-04-26,2019-04-26T16:04:54.000Z,Connected,b69a7b045a45c6996
2019-08-08,2019-08-08T18:10:47.000Z,Left Voicemail,5c9b74c9a9ab75bcb
2019-12-19,2019-12-19T19:57:43.000Z,Left Voicemail,5c9b74c9a9ab75bcb
2019-12-11,2019-12-11T17:41:51.000Z,No Answer,a7c9876b6a40a8b64
2019-12-11,2019-12-11T17:35:33.000Z,Wrong Number,c4c5b79bba67c0c8
2019-12-03,2019-12-03T20:46:54.000Z,No Answer,6a9596c70708c07ab
2019-10-17,2019-10-17T16:02:52.000Z,No Answer,6a9596c70708c07ab
2019-12-03,2019-12-03T20:47:20.000Z,Not in Service,5a4769c44a0a6875b
2019-12-11,2019-12-11T18:45:51.000Z,Wrong Number,b687885054a679840
2019-12-11,2019-12-11T17:37:22.000Z,No Answer,c8b85598477b4b560
2019-08-15,2019-08-15T22:08:37.000Z,No Answer,465775bc488405b40
2019-08-20,2019-08-20T14:33:18.000Z,No Answer,87976a6ab7658059b
2019-07-25,2019-07-25T16:42:32.000Z,Connected,c874ca80c88a47568
2019-08-08,2019-08-08T23:48:22.000Z,No Answer,8c806bb90c0898b08
2019-10-02,2019-10-02T14:59:59.000Z,Left Voicemail,5a5b04709aa895064
2019-10-02,2019-10-02T14:53:19.000Z,Left Voicemail,8a9c789446485c088
2019-09-18,2019-09-18T18:12:45.000Z,Connected,7895464aab7596c9
2019-10-15,2019-10-15T22:21:38.000Z,No Answer,cb8cba77784456808
2019-07-03,2019-07-03T15:14:48.000Z,Wrong Number,b506b9aa6a7ac4c08
2019-07-16,2019-07-16T20:30:02.000Z,Left Voicemail,764487b4c6767755b
2019-07-23,2019-07-23T16:22:55.000Z,No Answer,764487b4c6767755b
2019-12-09,2019-12-09T20:44:13.000Z,No Answer,658bb47cb984a4a04
2019-12-09,2019-12-09T20:43:56.000Z,No Answer,658bb47cb984a4a04
2019-10-22,2019-10-22T15:50:23.000Z,Wrong Number,67976600467578bb4
2019-12-04,2019-12-04T15:31:39.000Z,No Answer,a990ac77c5c874844
2019-10-29,2019-10-29T21:19:54.000Z,Left Voicemail,cc78c079b5c68bb9
2019-11-26,2019-11-26T17:49:33.000Z,No Answer,60a6568578b98a568
2019-07-03,2019-07-03T18:13:34.000Z,No Answer,c904588a6774555ab
2019-07-03,2019-07-03T18:23:58.000Z,No Answer,687767c9478c899c6
2019-07-03,2019-07-03T18:15:39.000Z,Left Voicemail,446c8a690b76c4ac6
2019-06-19,2019-06-24T12:30:58.000Z,Left Voicemail,ab6980a96a5677874
2019-08-02,2019-08-02T16:02:11.000Z,No Answer,8b6cb07cc9606987b
2019-10-21,2019-10-21T19:15:03.000Z,Wrong Number,4b5ca688869bb7784
2019-10-21,2019-10-21T19:16:05.000Z,Wrong Number,4b5ca688869bb7784
2019-10-31,2019-10-31T17:12:47.000Z,Connected,5466094898a45cb80
2019-09-30,2019-09-30T12:21:52.000Z,No Answer,5a0c054766445c488
2019-10-17,2019-10-17T21:26:21.000Z,No Answer,8a97c9660a4787456
2019-10-02,2019-10-02T20:14:20.000Z,Connected,8a97c9660a4787456
2019-10-02,2019-10-02T20:12:47.000Z,Wrong Number,8a97c9660a4787456
2019-12-11,2019-12-11T22:03:32.000Z,Left Voicemail,60a079805b5aac576
2019-06-11,2019-06-24T12:49:30.000Z,No Answer,87574046ab6a84576
2019-06-11,2019-06-24T12:49:31.000Z,No Answer,c0646ccc40a486b68
2019-03-20,2019-03-20T18:06:33.000Z,No Answer,a77c8044a549a0
2019-12-11,2019-12-11T21:03:53.000Z,Left Voicemail,6ca8b7944695b4a04
2019-12-11,2019-12-11T21:14:37.000Z,Wrong Number,8859b8970a0cac776
2019-10-21,2019-10-21T21:20:57.000Z,No Answer,76aa08ba98555b99b
2019-10-21,2019-10-21T21:19:43.000Z,No Answer,76aa08ba98555b99b
2019-09-13,2019-09-13T14:44:46.000Z,No Answer,8640abcca907809b8
2019-09-17,2019-09-17T14:18:02.000Z,No Answer,8640abcca907809b8
2019-10-03,2019-10-03T20:14:58.000Z,No Answer,a894c075506b0b44
2019-07-03,2019-07-03T16:39:13.000Z,Connected,7c655a867a45a8000
2019-11-12,2019-11-12T18:13:36.000Z,Left Voicemail,9988c8665a96468b
2019-07-23,2019-07-23T23:45:32.000Z,Wrong Number,79868ac76b5064960
