company_id,industry,employee_range
"617006fc08f4546","Software and Technology","1,000 - 4,999"
"62d9d22e01ea8a0","Business Services","100 - 249"
"6500326ed9624ee","Software and Technology","250 - 499"
"667f9e9ab6d0490","Telecommunications","100 - 249"
"69eabbb824940d9","Software and Technology","50 - 99"
"6e3fc502d6fe990","Associations","0 - 9"
"6f8193ba34d7935","Software and Technology","100 - 249"
"73b762eead0ac93","Software and Technology","250 - 499"
"740cf3bb4bdd015","Software and Technology","100 - 249"
"75c4a39e36270be","Telecommunications","10,000+"
"766f8212fb89a70","Business Services","500 - 999"
"76a9589020e21de","Software and Technology","5,000 - 9,999"
"6d2853952f30009","Business Services","10,000+"
"7278ab20f821bab","Transportation and Logistics","10,000+"
"be882688e5a5106","Business Services","1,000 - 4,999"
"bfba6903fe3872d","Software and Technology","5,000 - 9,999"
"c026445f1d2c595","Software and Technology","100 - 249"
"c1c115a61b99e44","Software and Technology","250 - 499"
"cb420714dcd6df8","Business Services","100 - 249"
"cb8a71b238b6945","Software and Technology","250 - 499"
"cd59d1f302a9320","Media and Entertainment","10,000+"
"cd8473af77e2c26","Business Services","1,000 - 4,999"
"4cc72511c993028","Software and Technology","500 - 999"
"4d01dfb0312d68a","Software and Technology","1,000 - 4,999"
"528675822689c66","Software and Technology","250 - 499"
"5574ed9776dd9ad","Software and Technology","1,000 - 4,999"
"58e9bd0a819a989","Software and Technology","1,000 - 4,999"
"5d4cfa0ecb376bd","Software and Technology","1,000 - 4,999"
"5dbc09cfc7841ed","Software and Technology","1,000 - 4,999"
"4ef0e9f14bdf4cb","Software and Technology","500 - 999"
"5154b98de2f66df","Software and Technology","1,000 - 4,999"
"55e11c63a45082d","Software and Technology","100 - 249"
"577c0b2f52b574f","Software and Technology","100 - 249"
"581aef8a534fb90","Software and Technology","500 - 999"
"5fbbb5d0353f920","Software and Technology","250 - 499"
"7927f715a88e309","Software and Technology","500 - 999"
"7dce28d9fa64026","Software and Technology","20 - 49"
"8c069e8b1bce028","Business Services","250 - 499"
"8d031bf0624987b","Retail and Distribution","10,000+"
"8d9a44195c2fd9e","Business Services","1,000 - 4,999"
"8df10e9d37af4fb","Software and Technology","250 - 499"
"0ccb5fee79a97bb","Manufacturing","1,000 - 4,999"
"120d9e85c33c5d1","Software and Technology","250 - 499"
"121457db135dfc4","Software and Technology","100 - 249"
"149308eb4bbfe6b","Software and Technology","500 - 999"
"02c0a1a6a6dbd03","Hardware","500 - 999"
"03fbb58eca2fc9a","Software and Technology","50 - 99"
"0dfdfcc0cbda4ed","Hardware","10,000+"
"375f73406c61d73","Software and Technology","250 - 499"
"3e199442cc1f655","Software and Technology","100 - 249"
"4fafa796ddef31b","Software and Technology","500 - 999"
"bc261cd56bcb545","Software and Technology","100 - 249"
"bfd89a176e067b2","Business Services","50 - 99"
"c1913c4a9f483a2","Telecommunications","10,000+"
"c1a84ad0fee908e","Software and Technology","100 - 249"
"c522ac81926cbf9","Software and Technology","100 - 249"
"c85b0784bc47e91","Financial Services","1,000 - 4,999"
"ca8a84217a43e7b","Financial Services","10,000+"
"cbdcbfeae3ea036","Software and Technology","1,000 - 4,999"
"ccda00e37fa7db4","Software and Technology","250 - 499"
"cfa16f49d1de7c5","Software and Technology","100 - 249"
"d1a6e359d13dcfa","Transportation and Logistics","1,000 - 4,999"
"4bf8860db4770e1","Software and Technology","100 - 249"
"4ca35ac090a153e","Software and Technology","50 - 99"
"4f90872cbb4f6d2","Software and Technology","1,000 - 4,999"
"511e93333018312","Software and Technology","50 - 99"
"592a8e28325ae76","Software and Technology","250 - 499"
"5b36bfd7f44b5dd","Software and Technology","1,000 - 4,999"
"5b59b5c357f34c6","Financial Services","10,000+"
"5c5af5737ea9740","Hardware","10,000+"
"5ceb4f9fc461404","Software and Technology","20 - 49"
"5d39951cc09e809","Software and Technology","100 - 249"
"5b7cf7ada39c607","Software and Technology","1,000 - 4,999"
"5fa53df7e79df3d","Software and Technology","1,000 - 4,999"
"762d45de7e16480","Software and Technology","10,000+"
"8b685ae0478fa3c","Software and Technology","100 - 249"
