date,activity_action,activity_type,activity_name,contact_id
2019-06-26,view,known_web_visit,6sense.com/platform/,c0655569bba876988
2019-09-05,view,known_web_visit,empowered-cmo-2019,68a70ba6b8c0497b8
2019-06-05,fill_out,form_fill,standard responsive form  - webinar,54589bb60465a5cc6
2019-03-14,open,email_open,2019_03-webinar-siriusdecisions & quorum.03_invitation_reminder,a08776a8b76688868
2019-03-04,open,email_open,2019_03-webinar-siriusdecisions & quorum.01_invite,b47550b45b595c87b
2019-10-29,open,email_open,2019_10_30 - webinar -6sense+ series 03 - personalize at scale.03_re-invite last chance,a0c050b5c4756b0b0
2019-02-06,open,email_open,2019_02_email_talkingsense_prospect.2019_02_email_talkingsense1_prospect,ca5468bcb775865b8
2019-05-14,view,known_web_visit,6sense.com/our-partners/,76a75c870a6ca46b4
2019-09-19,open,email_open,2019_10_01 - webinar - 6sense+ series 01 - personalize & prioritize direct gifting.01_invite,69a09bb77989b7800
2019-09-19,open,email_open,2019_10_01 - webinar - 6sense+ series 01 - personalize & prioritize direct gifting.01_invite,c7a6a750447aa97b8
2019-05-24,view,known_web_visit,6sense.com/resources/events/meet-the-senseis-uncovering-demand-webinar/,ac554a8c995c8bc9b
2019-05-24,open,email_open,2019_05_29 - webinar - sensei series 01 - abm fast track.01_a_invite,7658bba98b50c6576
2019-06-11,open,email_open,2019_06_26 - webinar - sensei series 03 - uncovering demand.01_invite,a9c69575889b95776
2019-06-11,open,email_open,2019_06_26 - webinar - sensei series 03 - uncovering demand.01_invite,69c0ca8969c448c9b
2019-06-11,open,email_open,2019_06_26 - webinar - sensei series 03 - uncovering demand.01_invite,a990ac77c5c874844
2019-06-11,open,email_open,2019_06_26 - webinar - sensei series 03 - uncovering demand.01_invite,b88a780bc06cc5bab
2019-06-11,click,email_click,2019_06_26 - webinar - sensei series 03 - uncovering demand.01_invite,69c0ca8969c448c9b
2019-07-26,click,email_click,6sense | follow up (1563911953.0),688a5aaabc5b95864
2019-12-06,open,email_open,website - free trial request.em 1 - report request confirmation,4cccccc4b70a866b4
2019-10-02,open,email_open,2019_10_15 - webinar -6sense+ series 02 - abm search & display.01_invite,78649c08c94ccb6b
2019-10-01,open,email_open,2019_12 - field event - 6sense breakthrough - dec. 2-4.06 - customer speaker announcements,bc508a9744a5c0a44
2019-10-07,view,known_web_visit,6sense.com/careers/,bb5bc46c8ac6547c6
2019-08-07,open,email_open,2019_08 - tradeshow - b2bsmx - aug 12-13.01_em - invite,cb8cba77784456808
2019-10-14,open,email_open,2019_10_15 - webinar -6sense+ series 02 - abm search & display.03_re-invite last chance,aa44b04b47bc0b9a6
2019-10-14,open,email_open,2019_10_15 - webinar -6sense+ series 02 - abm search & display.03_re-invite last chance,68a0675a0a86958b4
2019-10-14,view,known_web_visit,6sense.com/resources/,80ba09978bb57470
2019-10-14,fill_out,form_fill,standard responsive form  - webinar,6bc7845685460c5ab
2019-05-15,open,email_open,2019_05_21 - partner webinar - pedowitz techtalk.01_invite,a08a05798a4547b06
2019-11-21,attended_in_person,attended_event,2019_11 - tradeshow - hypergrowth - nov 18,57a09cbc9ab989568
2019-10-11,open,email_open,2019_10 - field event - fleet week - oct 11.em 03_event reminder,bb5bc46c8ac6547c6
2019-04-15,view,known_web_visit,6sense.com/resources/events/women-in-b2b-marketing-empowerment-dinner-series-austin/,76a75c870a6ca46b4
2019-04-26,fill_out,form_fill,standard responsive form - event,796a5640c8486ca5b
2019-10-23,fill_out,form_fill,website contact us form 2018,9988c8665a96468b
