company_id,created_date
"18a5a778029d9a4","2019-05-10"
"ab992b5d89eae05","2019-11-13"
"4d01dfb0312d68a","2019-02-15"
"d4c3ac7dca86eef","2019-09-20"
"36d482e443e234f","2019-03-15"
"d89f857e6020908","2019-02-20"
"60db5e02e957d40","2019-12-17"
"c1913c4a9f483a2","2019-09-23"
"c85b0784bc47e91","2019-08-05"
"1b0f481e0d34837","2019-08-19"
"8a5ac3326ce1b2b","2019-11-13"
"3a0ce05de881206","2019-02-11"
"bde8c4f085c9ce5","2019-08-09"
"8b8036a84c9e56a","2019-05-31"
"03566dfd768c564","2019-06-11"
"0226b29725833e3","2019-10-02"
"8f2886a8638c5f9","2019-11-07"
"6ba4f662121ed9a","2019-09-09"
"6ba4f662121ed9a","2019-10-30"
"8ccaa4cf23a8a92","2019-04-11"
"5408b7f01f8cf41","2019-02-08"
"a4f4c80a95c68fa","2019-04-08"
"0ec78db2c7be600","2019-05-11"
"9df0d71820cad12","2019-07-22"
"718bafe8e41f34e","2019-12-05"
"56d335daba65957","2019-09-04"
"56dbb3af52dc59e","2019-10-22"
"ffb7146bec8a6fa","2019-09-23"
"dd97864706e9e95","2019-09-17"
"b167e7a37523521","2019-05-10"
"f7ae7f73b6e0ad3","2019-04-26"
"b170f108a2eae2e","2019-05-02"
"8b8036a84c9e56a","2019-12-13"
"5cd7d95fb63f9f6","2019-04-26"
"4243330e9cfa005","2019-05-22"
"cdcd11ee3dc7c50","2019-10-01"
"460ba89da10817e","2019-01-22"
"ee1b920e3740577","2019-08-12"
"72267ea888bc959","2019-08-22"
"c1928be2bbbce96","2019-09-26"
"d35bbc5f05de9ae","2019-07-18"
"1ee9e6750420b82","2019-08-15"
"18ccbcb248bf46f","2019-06-06"
"4c112a2277352b4","2019-05-10"
"4d9929b139593e7","2019-09-24"
"0346ebc04bda8ea","2019-08-13"
"4dd304b828ad63d","2019-05-09"
"9b5bc5cfff7beab","2019-01-29"
"9baeac80552be0d","2019-05-10"
"e21454ddd98bf67","2019-08-08"
"f560aaa7d33947f","2019-11-13"
"f08ff28450320ea","2019-10-21"
"9a9c7578797bf6e","2019-12-11"
"0793555900c09f3","2019-06-28"
